rating,tanggal,ulasan,sentimen,,label
1,5 bulan lalu,Pas main di fun city pdhl jauh2 masuk sini malah makin panas ..bukannya makin seger dingin mlh brasa kek diungkep. Tolong management assalaam ditindak lanjuti ACny krn beda bgtt suhu sm di hall dg fun city.. liat org lain ulas perkara AC ya sy ikut2an.. pdhl karyawan fun city udah ramah2 baik2 paling murah harganya tiket jg gampang hadiah menarik ya minus nya itu AC ny doang.. jd pada males kalo mau kesini krn panas. !!!!!!,negatif,,0
5,10 bulan lalu,"Tempat belanja lengkap, plus ada outlet UMKM dengan Masjid yang besar.",positif,,2
2,4 bulan lalu,"Kasir sibuk becanda dan mengobrol akhirnya salah hitung, beli 1 dihitung 2. Sebenarnya tidak masalah cuma 2 ribu, hanya saja saya minta dipertahankan profesionalitasnya. Terimakasih.",negatif,,0
5,3 tahun lalu,"Puas banget belanja di sini, karena ada daging, ikan, buah-buahan, sayur-sayuran, dan banyak sekali kebutuhan rumah tangga lainnya. Harganya murah.  Tempatnya luas banget. Kalau menjelang idul Fitri ramai pol. Terutama antrian Kasirnya.
Yang menarik lagi di sini, kita bisa sekaliyan  belanja baju muslim, hijab, dan buku-buku di area depannnya, Apalagi kalau ada book fair. Bermacam-macam produk di jual di sini. Luar biasa. Kalau mau sholat sudah didirikan masjid yang besar. Kalau mau makan, ada banyak kulineran. Ayo bebelanja!!",positif,,2
5,Diedit 3 tahun lalu,"Assalam Hypermarket merupakan tempat favorit berbelanja kebutuhan bulanan keluarga kami di kota Solo. Tempat belanjanya amat luas sehingga sangat nyaman berbelanja berbagai kebutuhan bersama anak istri. 😄👍🏢
Segala jenis barang/pakaian/makanan kebutuhan sehari-hari tersedia di sini. Harganya juga murah-murah dibanding minimarket yang menjamur, haha.  Kasir tempat membayarnya juga banyak, jadi tidak perlu antre berlama-lama saat berbelanja.

Di dalam tempat belanja juga ada wahana bermain bagi anak-anak. Jadi saat ibu² berbelanja, bapak dan anak bisa menunggu sambil bermain di wahana ini, haha 🐱🐱

Di dalam kompleks area Assalam hypermarket juga ada masjid yang besar. Jadi, pengunjung bisa menjalankan ibadah sholat sebelum/setelah selesai berbelanja. 🕌👍👍 Btw, tempat parkir di sini amat luas ya. Gratis biaya parkir juga untuk. Ntappp kan? 😅😄",positif,,2
4,setahun lalu,"super marketnya cukup lengkap. tempat parkir luas, lokasi mudah diakses, masjid bersih dan nyaman. ada food court yg lumayan banyak pilihannya. parkir motor ada atapnya. antrian di kasir cukup panjang.",positif,,2
5,4 tahun lalu,"Tempat belanja yang murah meriah dan terkadang sambil berburu diskon harga disini.
Parkirnya lumayan luas, area belanja juga luas dan banyak fasilitas pendukungnya. Gerai jajan cemilan tersedia disepanjang jalan masuk ke supermarket.
Tersedia juga masjid dalam area parkir mobil. Masjidnya cukup besar dan sering dijadikan rest area bagi yang melakukan perjalanan jauh, karena letaknya memang persis di jalan raya.",,,
4,7 bulan lalu,"Saya memahami bahwa peraturan baru tentang penitipan tas di Supermarket Goro Assalam bertujuan untuk keamanan. Namun, penerapan aturan tersebut terasa agak kurang fleksibel, terutama bagi pengunjung yang membawa tas kecil.

Saran:
Akan lebih baik jika petugas dapat membedakan antara tas besar seperti ransel dengan tas kecil pribadi. Dengan begitu, pelanggan tetap merasa nyaman tanpa harus repot mengeluarkan barang-barang penting seperti dompet, HP, dan kunci.",netral,,1
5,setahun lalu,"Parkiran luas, ada masjid besar, Barang yang dijual beragam dari produk yang murah hingga yang mahal.",positif,,2
1,5 bulan lalu,"Didepan goro assalam ada beberapa penjual makanan diluar. Salah satunya sosis bedug varian ayam dan sapi. buset ibu2 penjualnya tidak ramah sama sekali. saya datang bertanya dengan nada lemah lembut ""apakah sosisnya sudah ada bu"" dia menjawab dengan ketus, plirak plirik matanya minta dicolok, tidak ramah. blg kalau blm siap. Seharusnyaa berkomunikasi dengan konsumen itu yang ramah. ditanya gitu sajaa ketus, ga ramah sama sekali, niat jualan ga sih buk. jualanya di depan pintu masuk hadap ke utaraa. mit amit buk².",negatif,,0
5,3 tahun lalu,"Hypermart yang cukup komplit dan menjadi salah satu pusat perbelanjaan ternama di Solo Raya
Tempatnya luas dengan parkiran yang luas juga
Bersih dan cukup tertata dengan rapi
Lengkap dan komplit dari kebutuhan harian, tempat mainan anak2, food court,  jual beli mobil, Service mobil, masjid yang cukup besar, benar benar lengkap
Pelayanan sangat baik dan ramah ramah, untuk harga juga bersaing dan lumayan miring dibanding pusat perbelanjaan besar yang lain
Barokallaah dan sukses buat Assalam... Aamiin 🤲
👍👍👍👍👍",positif,,2
5,5 tahun lalu,"Hypermarket yg udah lama berdiri. Tempat luas, sejuk, bersih, pelayanannya ramah. Dari saya kecil sampai sekarang kebersihan tempat tetap terjaga. Banyak warung di luar, cari makan gampang. Tempat pinggir jalan besar, yg dari luar kota mau belanja/istirahat sebentar bisa disini. Di dalam juga ada tempat bermain anak. Banyak sayur mayur, daging segar, frozen food, dan produk segar lainnya. Harga standar supermarket biasanya. Kalo disini harga kacang polong & jagung relatif murah. Disini juga banyak fashion dewasa, remaja, dan anak-anak. Banyak yg jual buku-buku juga. Ada yg jual alat fitness, mobil, perlengkapan sholat, kasur, springbed, peralatan rumah tangga, pokoknya komplit. Yang paling enak ngga ada biaya parkir. Ada juga tempat naik kuda",positif,,2
4,7 tahun lalu,"Salah satu supermarket besar yang sudah cukup tua / berdiri cukup di soloraya. Lumayan lngkap dan bernuansa lebih islami karena berafiliasi dengan pesantren assalam, ada masjid besar, foodcourt, permainan anak2, parkiran luas dan gratis. Menurut saya perlu dimake up lg dibeberapa sisi bangunan juga penataan counter pedagang seharusnya bisa lebih baik dan rapi lagi. Overall OK!",positif,,2
5,7 tahun lalu,"Pusat perbelanjaan yang menyediakan kebutuhan sehari - hari. Ada frozen food, buah dan sayur segar, ikan segar, bumbu masak, makanan kaleng, makanan kering, snack, beras, minyak goreng, gula, dan sembako bahkan alat elektronik. Lengkap. Di bagian depan terdapat booth booth baju dan kerajinan tangan produksi lokal. Ada juga show room. Di luar bagunan utama ada aneka booth makanan dan minuman. Ada food court, juga ada masjid besar, biasa digunakan untuk rest area saat musim mudik. Di dalamnya juga terdapat arena bermain, kids fun.",positif,,2
5,Diedit 3 tahun lalu,"Tempat berbelanja muslim lengkap, bagian depan banyak stan pakaian muslim berbagai merak dan berbagai buku islam
Di bagian belakang terdapat supermarket
Dan ada bagian wahana anak bermain dengan harga terjangkau
Tempat bersih dan rapi
Bagian depan pintu masuk banyak stan baerbagi makanan dan minuman
Area parkir luas
Pelayanan ramah",positif,,2
1,5 bulan lalu,"di assalam hyper market bagihan droping barang datang adalah bagihan
yang paling buruk & paling jelek,
coba pikirkan buat apa suplier absen nomor 1 sampai seterusnya tapi giliran bongkarnya tidak teratur / tidak sesuai nomor urutan.
lebih baik ngak usah lah pake absen² segala",negatif,,0
5,8 bulan lalu,belanja murah. lengkap. pelayanan ramah. apalagu skrg ada foodcourt di dalam. jadi makin nyaman. rasa dan harga jg worth it. tapi sayangnya foodcourt g ada baby chair. jadi terpaksa pake troli buat baby chair. semoga setelah ini bisa disediakan baby chair agar anak dan orang tua nyaman makan di sini,positif,,2
5,3 tahun lalu,"Tempat ternyaman untuk belanja, murah dan luas, jadi tetap nyaman.. ada jajanannya juga didepan, ada tempat berkuda juga.. dan ada soto hj fatimah soto terbaik solo",positif,,2
5,6 tahun lalu,"Tempat asyik buat belanja kebutuhan harian, masjidnya besar nyaman parkir nya walau kadang panas kalo siang, sotonya maknyuuss, hiburan anak juga ada, cuci mobil juga ada di belakang dekat lapangan kuda, bisa memanah juga, wah komplit deh, kalo banyak duit bisa make semuanya sepuasnya lur.",positif,,2
2,8 bulan lalu,Barang dan produk lengkap bersih juga selalu main ke fun city tapi sayang bget fun city ac nya ga sedingin di dalam market nya komplaint ke pihak fun city kata nya ac dari gedung tolong dong pihak gedung lebih di perhatikan sedangkan di fun city selalu juga ramai waktu weekend,negatif,,0
5,5 bulan lalu,"Tempatnya nyaman dan murah², banyak diskonannya jugaaa jadi sukakk trs sering ada event bazarr jugaa",positif,,2
1,7 bulan lalu,"Saya lengganan belanja disini untuk toko dan apotek saya.
Selalu belanja bersama anak istri.
Hari ini saya sampaikan keluhan,
Ada beberapa karyawan yang menata stok sambil bercanda sampai teriak2 dan ada beberapa kali kata2 jorok yang sangat saya sayangkan terdengar oleh  anak saya. Mohon untuk dievaluasi
Bintang akan saya update jika sdh ada follow up
Terimakasih",negatif,,0
5,7 bulan lalu,Dah lama nggak kesini banyak perubahan. Tambah keren interiornya,positif,,2
5,7 tahun lalu,"Tempat belanjanya luas dan juga lengkap, dari perlengkapan rumah tangga, perabotan, sayuran, buah-buahan, daging segar, ikan segar, dan makanan beku semua ada.
Ada kartunya juga yang jika dipakai belanja bisa menambah poin, ada tempat bermain juga..
Sering ada bookfair dan muslim fair..
Di depan juga ada masjid, jika sudah masuk waktu shalat bisa ke masjid dulu..
Parkirnya juga luas, di depan ada food court bisa buat jajan-jajan..
Ada ATM juga di depan dekat masjid.",positif,,2
5,setahun lalu,Kemana saja saya baru ngeh kalo goro ada buah sayur protein kaya di Superindo. Produk2nya lengkap dan murah. Akses parkir juga mudah dan kalo habis belanja ga perlu naik turun. Nyaman.,positif,,2
5,3 tahun lalu,"Lengkap dan murah-murah, semua kebutuhan ada disini. Banyak diskon, kasir banyak jadi cepet gak lama ngantri ramah juga.",positif,,2
5,3 tahun lalu,Tempat berbelanja yang populer dan luas. Menyediakan segala macam kebutuhan rumah tangga dengan berbagai merk. Di sini juga sering menyelenggarakan pameran buku dan busana muslim. Di dalam juga terdapat tempat makanan dan minuman bila Anda letih memutari tempat ini sehingga cocok berbelanja bersama keluarga.,positif,,2
2,8 bulan lalu,Tiap nunggu istri belanja selallu ke timezone depan tapi anak selalu rewel karna panas. Tolong ditindak lanjuti pihak terkait kenapa ac di timezone depan panas tidak seperti gang sebelahnya yg sangat dingin ?,negatif,,0
4,4 tahun lalu,"Tempatnya luas banget, cuma sayang parkiran nya jauh karena harus muter dari pintu keluar. Untuk harganya menurut saya lebih mahal dikit tapi ada juga yang murah kalau eceran. Kalau kesini orang orang pada beli grosiran barangkali lebih murah kalau grosir. Pelayanan nya kurang, dari awal sampai sekarang kalau ke sini yang ramah cuma satpam nya saja",negatif,,0
5,5 tahun lalu,"Pengunjung sangat ramai,pakaian muslim dan muslimah sangat mendominasi,banyak pilihan,tidak mahal. Untuk kebutuhan rumah tangga ya lengkap. Didepan banyak penjual aneka jajanan.",positif,,2
5,7 bulan lalu,"nemenin mama kesini kemarin, tempatnya luas, lengkap, terjangkau, baru tau ada kuda juga di assaalam hypermarket",positif,,2
4,Diedit 7 tahun lalu,"Hypermart bernuansa Islami, lumayan lengkap, untuk semua kalangan masyarakat, pelayanannya ramah....khusus kebutuhan santri juga ada, parkir luas & gratis, masjid dekat, kuliner kaki lima dgn berbagai rasa, ada pijat Nakamura...",positif,,2
4,5 bulan lalu,Barang barang lengkap harga lumayan murah ada banyak diskon harga Frozen food cukup murah,positif,,2
2,Diedit 8 bulan lalu,"Sarana dan prasarana lumayan komplit . Jualan juga komplit . Foodcourt jg banyak..  tiap kesana sll  main di funcity yg depan,tp sayang AC ny ga sedingin yg didalam supermarket atau di hall tengah.. dari dulu udah langganan ke goro assalam sangat disayangkan hal spt ini kurang diperhatikan apalagi momen ramai spt weekend di funcity sudah berasa di sauna.. komplen ke pihak funcity katanya ac dr gedung..tolong dong pihak gedungny lebih diperhatikan lg ..",negatif,,0
4,4 tahun lalu,"terakhir ke sini tahun 2010 mungkin, waktu masih di solo, ke sini lagi bentukannya masih sama, tambah rame aja kayaknya, buat tenant yang di luar makin banyak juga jualannya. Yang kaget, di sini gak dikenain biaya parkir alias gratis! manteppp",positif,,2
5,9 bulan lalu,"Assalaam Hypermarket Solo adalah pusat belanja bernuansa islami yang lengkap dan nyaman, cocok untuk kebutuhan harian maupun belanja busana muslim. Harganya relatif terjangkau, pilihan produknya beragam, dan fasilitasnya mendukung, mulai dari masjid, food court, hingga parkir luas. Suasananya ramah keluarga dan bersahabat, sehingga jadi alternatif belanja yang praktis di Solo.",positif,,2
5,setahun lalu,"Rekomendasi tempat belanja bulanan di solo. Harga murah barang lengkap, ada promo setiap akhir pekan, bisa cash back kartu debit dan kredit, ada member point YEY",positif,,2
5,9 bulan lalu,"Paling seneng belanja di Assalam Hypermarket..tempatnya luas dan dalam 1 area atau lantai artinya tidak usah pakai tangga naik turun (Ekskalator).karyawan dan karyawatinya ramah ,ada mesin scan harga dan jumlah stok barang ,mempermudah pembeli utk membeli partai besar ,dan satu hal lagi tiap 2 Minggu sekali Assalam Hypermarket menyelenggarakan senam bersama utk umum Deng instruktur handal yg berganti- ganti",positif,,2
4,Diedit 4 tahun lalu,"Sering belanja di sini, Troli belanja tidak terawat dengan baik. Klo belanja harus pintar pilih troli yg  Rodanya tidak seret agar ringan d dorong.",negatif,,0
5,8 bulan lalu,"Parkinya luas dan aman,petugasnya ramah²,tokonya luas banget ,komplit,....
Alhamdulillah puas banget belanja di assalaam...salam sehat sejahtera",positif,,2
4,8 tahun lalu,"Menyediakan berbagai macam busana muslim pria maupun wanita seperti gamis, celana sirwal, peci, mukenah, kerudung, selain itu ada game station, serta keperluan rumah tangga.",netral,,1
5,4 tahun lalu,"senang sekali belanja disini. tempatnya bersih, luas dan lengkap. banyak promo dan diskonnya. harga terjangkau cocok untuk belanja bulanan.
di depannya juga banyak stand jualan, jadi bisa sekalian jajan.",positif,,2
5,6 bulan lalu,"beli kebutuhan buat kost disini ada semuaa komplit dan harga ramah di kantong mahasiswa, langganann",positif,,2
5,9 bulan lalu,"Maaf ya min, baru ngasih ulasan. Padahal dah jadi langganan heheh

Tempatnya luas banget, bisa sekalian buat olahraga, harga barang murah banyak diskonnya lagi,  mau cari kebutuhan sehari-hari ada dan lengkap.

Recommended DECH",positif,,2
5,2 tahun lalu,"Di assalam tu semua ada yg kayanya. Buah, sayur, daging, sabun, balon, buku, indomie wkwk. Lengkap dan cukup dekat dari kampus. Dan ada kacanya, bisa dipake untuk mirror selfie🙏",positif,,2
4,10 bulan lalu,"*karena sdh dinotice sy update bintangnya*

Bismillah..
Mau cerita pengalaman yg kurang enak, semoga bisa menjadi perhatian pihak manajemen.
Suatu sore sy sdg grocery bulanan dg anak2 komplit, krna sy buru2 dan sy mau beli sandal anak sy langsung ke stand sandal milih ukuran nyoba size 29 ga cukup, disamping stand sandal ada kumpulan mbak2 spg (3/4 org sy lupa pastinya), dg sopan sy nanya mba maaf ini size 30 ada ga ya (karena sy sdg gendong bayi 8bulan dan ada anak sy yg lain yg kecl2 dan udah rewel sy bermaksud minta tolong mbak spg biar cepet) tanpa megang stand sandal2 dia bilang yg ready yg didisplay aja, sy lanjut bilang boleh model yg lain mba minta tolong dicarikan size 30. Mbaknya trus bilang sy bukan spg sandal spg sandalnya sdg ga ada, sy langsung bilang oh yaudah maaf sy cari sendiri aja, sambil gendong bayi sambil nundak nunduk pilih nyari size yg ada mbaknya cuma berdiri disamping. Ya Robb minim banget empati, sy sendiri ga tau ya dia digaji brand ato digaji goro, tp kan sy sdh dg cukup sopan minta tolong krna repot, minta tolongnya jg wajar banget boleh model apa aja asal size 30. Kok itu itungan  banget sih mbak kerjanya? 😭😭😭
Sy klo grocery digoro engga hbs seratus dua ratus, belanja jutaan mba anak sy 4 nek beli susu berkarton2 dan itu tiap 2minggu ssekali groceryny
Sebenernya mau tak pendem aja ceritanya langsung ganti tempat lain buat grocery,  tp aku sdh terlanjur syg sm goro.
Semoga ada perbaikan pelayanan
*Buat mbaknya ybs barangkali baca, pesan sy kerjalah dg tulus ikhlas krn rezeki itu bukan ttg gaji saja, klo mbaknya kerja tulus ikhlas all out ga perlu dipandang bos tp cari ridho Allah siap2 rezeki yg gadisangka2 datang bertubi2, tp klo kerjanya itungan ya siap2 yg Diatas bisa jadi itungan jg klo mau ngasih rezeki
*Maaf ga ada foto krna sy sdg repot dan ribet
Tapi sy berani bersaksi cerita ini jujur apa adanya
Semoga bisa dinotice pihak management

*karena sdh dinotice sy update bintangnya*",negatif,,0
3,8 tahun lalu,"Sering sewa mainan mobil remote 10.000 dapat 15 menit, untuk anak.

Pameran buku, herbal dan properti syariah sangat bagus membuka wawasan.

Masjidnya nyaman sekali, wudhu dan toilet tidak antri.

Mie ayam di pojokan cukup mahal dengan kualitas low, @8.000.

Parkir gratis, ada sewa kuda ""Solo Berkuda"" @50.000 selama 20 menit.",positif,,2
5,6 tahun lalu,"Tempat berbelanja kebutuhan rumah recomended bagi teman2. Parkir luas tempat yg luas satu yg penting barang2 kebutuhan pun lengkap. Yang menarik adalah pameran buku yg diadakan secara terus menerus guna menunjang literasi teman2. Adapun pameran otomotif seperti mobil serta isi rumah untuk melengkapi isi dari rumah teman2. So, silahkan merapat ke Assalaam Hypermarket guys!!",positif,,2
5,6 bulan lalu,"sangat memuaskan pelayanan ramah, tempat bersih dan rapi nyaman untuk berbelanja",positif,,2
5,7 tahun lalu,"Assalaam Hypermarket menjual segala kebutuhan sehari-hari mulai dari sembako, peralatan rumah tangga, ATK, pakaian, dan buah-buahan.

Harganya murah, parkir gratis, tempat bersih, terdapat masjid yang besar, ATM centre, dan foodcourt yang luas. Sangat cocok berkumpul dengan keluarga, untuk rest area, dan one stop shopping.

Di dalam hypermarketnya juga terdapat wifi gratis.
Pegawainya juga ramah.

Saat hari ahad pagi sering ada kajian. Dan bulan-bulan tertentu juga ada bazaar dan pameran buku.",positif,,2
5,8 tahun lalu,Ini supermarketnya muslim. Parkir gratis. Toilet bersih. Pusat barang muslim. Banyak baju muslim. Ada tempat bermain anak. Ada pijat juga. Recommended muslim belanja di sini.,positif,,2
5,6 bulan lalu,"Harga terjangkau, produknya lengkap, dan area toko sangat nyaman untuk berbelanja",positif,,2
5,6 tahun lalu,"Tempat belanja keluarga muslim. Tempatnya luas n Lumayan lengkap. Ada wahana bermain anak2, tempat makan yg bervariasi. Juga biasa diadakan Bazar Ramadhan n Islamic Book Fair. Parkir luas, motor gratis, mobil kurang tahu.",positif,,2
5,6 bulan lalu,"Suka kesini buat jajan makanan di kost, harga terjangkau dan banyak pilihannya",positif,,2
5,5 bulan lalu,Belanja disini nyaman karna ada fasilitas masjid yang bersih dan parkiran luas,positif,,2
5,3 bulan lalu,"Sering belanja kesini,
Tempat nya nyaman luas, lengkap barangnya, harga bersaing",positif,,2
1,setahun lalu,"Saya cukup sering menjumpai petugas kebersihan laki-laki yang masuk ke toilet wanita tanpa mengetuk atau memastikan terlebih dahulu apakah di dalam ada pengguna perempuan.

Menurut saya, pihak atasan perlu memberikan teguran dan menetapkan aturan yang lebih jelas. Misalnya, petugas laki-laki tidak diperbolehkan masuk ke toilet wanita, atau jika memang harus, wajib memastikan terlebih dahulu dengan mengetuk dan menunggu respon dari dalam. Akan lebih baik jika hanya petugas perempuan saja yang ditugaskan untuk area tersebut.

Memang ada beberapa petugas yang masih paham etika dan sopan santun, tetapi sayangnya tidak sedikit juga yang masuk begitu saja. Padahal, sangat mungkin di dalam ada pengguna yang sedang membuka aurat, dan hal ini tentu bisa menimbulkan ketidaknyamanan bahkan pelanggaran privasi.",negatif,,0
5,7 tahun lalu,Tadi belanja di sini gak terlalu ramai kayak supermarket yang lain.. Apa mungkin gara gara akhir bulan dan bukan weekand yaa... Parkiran juga luas gratis lagi... Bisa parkir dekat loby tadi.. Kesemua nya sih puas dengan pelayanan nya...,positif,,2
4,6 bulan lalu,"Luas , adem , tapi ada beberapa macam produk kurang lengkap..",netral,,1
4,2 tahun lalu,"Tempatnya lumayan menarik, luas, dan point plus karna parkirannya murah😁",positif,,2
5,6 bulan lalu,"tempat belanja yang nyaman, memiliki fasilitas yang cukup lengkap",positif,,2
5,6 tahun lalu,"Swalayan dengan mini mall terintegrasi dengan rest area dan masjid, sering digunakan untuk even pameran dan seminar",positif,,2
5,5 bulan lalu,"murah banget bagussss, tempatnya nyaman, pelayanan ramah banget 😉😍",positif,,2
5,6 tahun lalu,"Mall bersahabat harga murah, fasilitas Sangat banyak bagaikan mall mahal",positif,,2
4,Diedit 7 tahun lalu,"Suka tempatnya yg legaaa... Luas... Istri bisa bebas belanjas, suami bisa lihat2 bursa mobil second, anak2 bisa main, ortu bs jajan ngemil",positif,,2
5,5 tahun lalu,"Parkir mobil nyaman dan gratis. Area perbelanjaan juga cukup luas.

Protokol kesehatan diberlakukan selama pandemi, masuk ke area perbelanjaan wajib cuci tangan dan akan di ukur suhu badan.

Troli bisa dibawa sampai mobil jadi lebih nyaman dalam membawa barang belanjaan.

Suasana islami, sebelum masuk area perbelanjaan ada area yang menjual buku-buku dan busana islami.",positif,,2
5,6 bulan lalu,"diskon tiap bulannya pasti ada, selalu pantengin sosmednya siii",positif,,2
5,4 tahun lalu,"Tempatnya bersih, luas, nyaman. Pegawainya ramah. Parkirnya tentu saja masih gratis dong 😉",positif,,2
5,3 tahun lalu,"tempat belanja bulanan dari jaman ibu masih punya anak 1 sampai sekarang udah punya cucu. tp kalo boleh jujur, lebih suka model penukaran poin jaman dulu, engga ada batas kadaluarsanya😭🥲 tolong dong manager goro, batas penukaran poinnya dihilangin aja atau ngga dilamain jangan satu tahun doang😭😂",netral,,1
5,4 tahun lalu,"Selalu kesini dan ikut Pameran disini
Lengkap banget sih Masjid besar, Food court, Fresh Market, Swalayan,Tempat bermain,Semuanya ada pokonya.  Gak perlu naik turun lift udah lempeng aja kita jalan2",positif,,2
5,7 tahun lalu,"Tempat bagus, luas, menyediakan berbagai kebutuhan kehidupan anda..
Ada peralatan tukang, makanan pokok, baju, buah, sepatu, sabun, dan terdapat masjid di area tersebut.. mantapp... terimakasih Assalam Hypermart.. 😉",positif,,2
5,7 bulan lalu,"Harga terjangkau, ternyata jual baju dan ada tempat makan disana.",positif,,2
