ulasan,final_text,sentimen,label
Pas main di fun city pdhl jauh2 masuk sini malah makin panas ..bukannya makin seger dingin mlh brasa kek diungkep. Tolong management assalaam ditindak lanjuti ACny krn beda bgtt suhu sm di hall dg fun city.. liat org lain ulas perkara AC ya sy ikut2an.. pdhl karyawan fun city udah ramah2 baik2 paling murah harganya tiket jg gampang hadiah menarik ya minus nya itu AC ny doang.. jd pada males kalo mau kesini krn panas. !!!!!!,pas main fun city pdhl masuk panas seger dingin mlh brasa kek diungkep tolong management assalaam tindak lanjut acny beda bgtt suhu hall fun city liat org ulas perkara ac ya ikut pdhl karyawan fun city ramah murah harga tiket gampang hadiah tarik ya minus ac ny doang males kalo kesini panas,negatif,0
"Tempat belanja lengkap, plus ada outlet UMKM dengan Masjid yang besar.",belanja lengkap plus outlet umkm masjid,positif,1
"Kasir sibuk becanda dan mengobrol akhirnya salah hitung, beli 1 dihitung 2. Sebenarnya tidak masalah cuma 2 ribu, hanya saja saya minta dipertahankan profesionalitasnya. Terimakasih.",kasir sibuk becanda obrol salah hitung beli hitung ribu tahan profesionalitas terimakasih,negatif,0
"Puas banget belanja di sini, karena ada daging, ikan, buah-buahan, sayur-sayuran, dan banyak sekali kebutuhan rumah tangga lainnya. Harganya murah.  Tempatnya luas banget. Kalau menjelang idul Fitri ramai pol. Terutama antrian Kasirnya.
Yang menarik lagi di sini, kita bisa sekaliyan  belanja baju muslim, hijab, dan buku-buku di area depannnya, Apalagi kalau ada book fair. Bermacam-macam produk di jual di sini. Luar biasa. Kalau mau sholat sudah didirikan masjid yang besar. Kalau mau makan, ada banyak kulineran. Ayo bebelanja!!",puas belanja daging ikan buah buah sayur sayur butuh rumah tangga harga murah tempat luas jelang idul fitri ramai pol antri kasir tarik sekaliyan belanja baju muslim hijab buku buku area depannnya book fair produk jual sholat diri masjid makan kuliner ayo bebelanja,positif,1
"Assalam Hypermarket merupakan tempat favorit berbelanja kebutuhan bulanan keluarga kami di kota Solo. Tempat belanjanya amat luas sehingga sangat nyaman berbelanja berbagai kebutuhan bersama anak istri. 😄👍🏢
Segala jenis barang/pakaian/makanan kebutuhan sehari-hari tersedia di sini. Harganya juga murah-murah dibanding minimarket yang menjamur, haha.  Kasir tempat membayarnya juga banyak, jadi tidak perlu antre berlama-lama saat berbelanja.

Di dalam tempat belanja juga ada wahana bermain bagi anak-anak. Jadi saat ibu² berbelanja, bapak dan anak bisa menunggu sambil bermain di wahana ini, haha 🐱🐱

Di dalam kompleks area Assalam hypermarket juga ada masjid yang besar. Jadi, pengunjung bisa menjalankan ibadah sholat sebelum/setelah selesai berbelanja. 🕌👍👍 Btw, tempat parkir di sini amat luas ya. Gratis biaya parkir juga untuk. Ntappp kan? 😅😄",assalam hypermarket favorit belanja butuh bulan keluarga kota solo belanja luas nyaman belanja butuh anak istri jenis barang pakai makan butuh hari sedia harga murah murah banding minimarket jamur haha kasir bayar antre lama belanja belanja wahana main anak anak belanja anak tunggu main wahana haha kompleks area assalam hypermarket masjid unjung jalan ibadah sholat selesai belanja btw parkir luas ya gratis biaya parkir ntappp,positif,1
"super marketnya cukup lengkap. tempat parkir luas, lokasi mudah diakses, masjid bersih dan nyaman. ada food court yg lumayan banyak pilihannya. parkir motor ada atapnya. antrian di kasir cukup panjang.",super marketnya lengkap parkir luas lokasi mudah akses masjid bersih nyaman food court lumayan pilih parkir motor atap antri kasir,positif,1
"Tempat belanja yang murah meriah dan terkadang sambil berburu diskon harga disini.
Parkirnya lumayan luas, area belanja juga luas dan banyak fasilitas pendukungnya. Gerai jajan cemilan tersedia disepanjang jalan masuk ke supermarket.
Tersedia juga masjid dalam area parkir mobil. Masjidnya cukup besar dan sering dijadikan rest area bagi yang melakukan perjalanan jauh, karena letaknya memang persis di jalan raya.",belanja murah riah terkadang buru diskon harga parkir lumayan luas area belanja luas fasilitas dukung gerai jajan cemilan sedia panjang jalan masuk supermarket sedia masjid area parkir mobil masjid jadi rest area jalan letak persis jalan raya,positif,1
"Saya memahami bahwa peraturan baru tentang penitipan tas di Supermarket Goro Assalam bertujuan untuk keamanan. Namun, penerapan aturan tersebut terasa agak kurang fleksibel, terutama bagi pengunjung yang membawa tas kecil.

Saran:
Akan lebih baik jika petugas dapat membedakan antara tas besar seperti ransel dengan tas kecil pribadi. Dengan begitu, pelanggan tetap merasa nyaman tanpa harus repot mengeluarkan barang-barang penting seperti dompet, HP, dan kunci.",paham atur titip tas supermarket goro assalam tuju aman terap atur fleksibel unjung bawa tas saran tugas beda tas ransel tas pribadi langgan nyaman repot keluar barang barang dompet hp kunci,negatif,0
"Parkiran luas, ada masjid besar, Barang yang dijual beragam dari produk yang murah hingga yang mahal.",parkir luas masjid barang jual agam produk murah mahal,positif,1
"Didepan goro assalam ada beberapa penjual makanan diluar. Salah satunya sosis bedug varian ayam dan sapi. buset ibu2 penjualnya tidak ramah sama sekali. saya datang bertanya dengan nada lemah lembut ""apakah sosisnya sudah ada bu"" dia menjawab dengan ketus, plirak plirik matanya minta dicolok, tidak ramah. blg kalau blm siap. Seharusnyaa berkomunikasi dengan konsumen itu yang ramah. ditanya gitu sajaa ketus, ga ramah sama sekali, niat jualan ga sih buk. jualanya di depan pintu masuk hadap ke utaraa. mit amit buk².",depan goro assalam jual makan luar salah satu sosis bedug varian ayam sapi buset jual ramah nada lemah lembut sosis bu ketus plirak plirik mata colok ramah blg seharusnyaa komunikasi konsumen ramah sajaa ketus ramah niat jual buk jualanya pintu masuk hadap utaraa mit amit buk,negatif,0
"Hypermart yang cukup komplit dan menjadi salah satu pusat perbelanjaan ternama di Solo Raya
Tempatnya luas dengan parkiran yang luas juga
Bersih dan cukup tertata dengan rapi
Lengkap dan komplit dari kebutuhan harian, tempat mainan anak2, food court,  jual beli mobil, Service mobil, masjid yang cukup besar, benar benar lengkap
Pelayanan sangat baik dan ramah ramah, untuk harga juga bersaing dan lumayan miring dibanding pusat perbelanjaan besar yang lain
Barokallaah dan sukses buat Assalam... Aamiin 🤲
👍👍👍👍👍",hypermart komplit salah pusat belanja nama solo raya tempat luas parkir luas bersih tata rapi lengkap komplit butuh hari main anak food court jual beli mobil service mobil masjid lengkap layan ramah ramah harga saing lumayan miring banding pusat belanja barokallaah sukses assalam aamiin,positif,1
"Hypermarket yg udah lama berdiri. Tempat luas, sejuk, bersih, pelayanannya ramah. Dari saya kecil sampai sekarang kebersihan tempat tetap terjaga. Banyak warung di luar, cari makan gampang. Tempat pinggir jalan besar, yg dari luar kota mau belanja/istirahat sebentar bisa disini. Di dalam juga ada tempat bermain anak. Banyak sayur mayur, daging segar, frozen food, dan produk segar lainnya. Harga standar supermarket biasanya. Kalo disini harga kacang polong & jagung relatif murah. Disini juga banyak fashion dewasa, remaja, dan anak-anak. Banyak yg jual buku-buku juga. Ada yg jual alat fitness, mobil, perlengkapan sholat, kasur, springbed, peralatan rumah tangga, pokoknya komplit. Yang paling enak ngga ada biaya parkir. Ada juga tempat naik kuda",hypermarket diri luas sejuk bersih layan ramah bersih jaga warung cari makan gampang pinggir jalan kota belanja istirahat sebentar main anak sayur mayur daging segar frozen food produk segar harga standar supermarket kalo harga kacang polong jagung relatif murah fashion dewasa remaja anak anak jual buku buku jual alat fitness mobil lengkap sholat kasur springbed alat rumah tangga pokok komplit enak biaya parkir kuda,positif,1
"Salah satu supermarket besar yang sudah cukup tua / berdiri cukup di soloraya. Lumayan lngkap dan bernuansa lebih islami karena berafiliasi dengan pesantren assalam, ada masjid besar, foodcourt, permainan anak2, parkiran luas dan gratis. Menurut saya perlu dimake up lg dibeberapa sisi bangunan juga penataan counter pedagang seharusnya bisa lebih baik dan rapi lagi. Overall OK!",salah supermarket tua diri soloraya lumayan lngkap nuansa islami afiliasi pesantren assalam masjid foodcourt main anak parkir luas gratis dimake up beberapa sisi bangun tata counter dagang rapi overall,positif,1
"Pusat perbelanjaan yang menyediakan kebutuhan sehari - hari. Ada frozen food, buah dan sayur segar, ikan segar, bumbu masak, makanan kaleng, makanan kering, snack, beras, minyak goreng, gula, dan sembako bahkan alat elektronik. Lengkap. Di bagian depan terdapat booth booth baju dan kerajinan tangan produksi lokal. Ada juga show room. Di luar bagunan utama ada aneka booth makanan dan minuman. Ada food court, juga ada masjid besar, biasa digunakan untuk rest area saat musim mudik. Di dalamnya juga terdapat arena bermain, kids fun.",pusat belanja sedia butuh hari frozen food buah sayur segar ikan segar bumbu masak makan kaleng makan kering snack beras minyak goreng gula sembako alat elektronik lengkap booth booth baju rajin tangan produksi lokal show room bagunan utama aneka booth makan minum food court masjid rest area musim mudik dalam arena main kids fun,positif,1
"Tempat berbelanja muslim lengkap, bagian depan banyak stan pakaian muslim berbagai merak dan berbagai buku islam
Di bagian belakang terdapat supermarket
Dan ada bagian wahana anak bermain dengan harga terjangkau
Tempat bersih dan rapi
Bagian depan pintu masuk banyak stan baerbagi makanan dan minuman
Area parkir luas
Pelayanan ramah",belanja muslim lengkap stan pakai muslim merak buku islam supermarket wahana anak main harga jangkau bersih rapi pintu masuk stan baerbagi makan minum area parkir luas layan ramah,positif,1
"di assalam hyper market bagihan droping barang datang adalah bagihan
yang paling buruk & paling jelek,
coba pikirkan buat apa suplier absen nomor 1 sampai seterusnya tapi giliran bongkarnya tidak teratur / tidak sesuai nomor urutan.
lebih baik ngak usah lah pake absen² segala",assalam hyper market bagihan droping barang bagihan buruk jelek coba pikir suplier absen nomor gilir bongkar atur sesuai nomor urut ngak pake absen,negatif,0
belanja murah. lengkap. pelayanan ramah. apalagu skrg ada foodcourt di dalam. jadi makin nyaman. rasa dan harga jg worth it. tapi sayangnya foodcourt g ada baby chair. jadi terpaksa pake troli buat baby chair. semoga setelah ini bisa disediakan baby chair agar anak dan orang tua nyaman makan di sini,belanja murah lengkap layan ramah apalagu foodcourt nyaman harga worth it sayang foodcourt baby chair paksa pake troli baby chair moga sedia baby chair anak orang tua nyaman makan,positif,1
"Tempat ternyaman untuk belanja, murah dan luas, jadi tetap nyaman.. ada jajanannya juga didepan, ada tempat berkuda juga.. dan ada soto hj fatimah soto terbaik solo",nyaman belanja murah luas nyaman jajan depan kuda soto hj fatimah soto baik solo,positif,1
"Tempat asyik buat belanja kebutuhan harian, masjidnya besar nyaman parkir nya walau kadang panas kalo siang, sotonya maknyuuss, hiburan anak juga ada, cuci mobil juga ada di belakang dekat lapangan kuda, bisa memanah juga, wah komplit deh, kalo banyak duit bisa make semuanya sepuasnya lur.",asyik belanja butuh hari masjid nyaman parkir kadang panas kalo siang soto maknyuuss hibur anak cuci mobil lapang kuda manah komplit kalo duit make puas lur,positif,1
Barang dan produk lengkap bersih juga selalu main ke fun city tapi sayang bget fun city ac nya ga sedingin di dalam market nya komplaint ke pihak fun city kata nya ac dari gedung tolong dong pihak gedung lebih di perhatikan sedangkan di fun city selalu juga ramai waktu weekend,barang produk lengkap bersih main fun city sayang bget fun city ac sedingin market komplaint fun city ac gedung tolong gedung perhati fun city ramai weekend,negatif,0
"Tempatnya nyaman dan murah², banyak diskonannya jugaaa jadi sukakk trs sering ada event bazarr jugaa",tempat nyaman murah diskon jugaaa sukakk trs event bazarr jugaa,positif,1
"Saya lengganan belanja disini untuk toko dan apotek saya.
Selalu belanja bersama anak istri.
Hari ini saya sampaikan keluhan,
Ada beberapa karyawan yang menata stok sambil bercanda sampai teriak2 dan ada beberapa kali kata2 jorok yang sangat saya sayangkan terdengar oleh  anak saya. Mohon untuk dievaluasi
Bintang akan saya update jika sdh ada follow up
Terimakasih",lengganan belanja toko apotek belanja anak istri keluh karyawan tata stok canda teriak kali jorok sayang dengar anak mohon evaluasi bintang update follow up terimakasih,negatif,0
Dah lama nggak kesini banyak perubahan. Tambah keren interiornya,kesini ubah keren interior,positif,1
"Tempat belanjanya luas dan juga lengkap, dari perlengkapan rumah tangga, perabotan, sayuran, buah-buahan, daging segar, ikan segar, dan makanan beku semua ada.
Ada kartunya juga yang jika dipakai belanja bisa menambah poin, ada tempat bermain juga..
Sering ada bookfair dan muslim fair..
Di depan juga ada masjid, jika sudah masuk waktu shalat bisa ke masjid dulu..
Parkirnya juga luas, di depan ada food court bisa buat jajan-jajan..
Ada ATM juga di depan dekat masjid.",belanja luas lengkap lengkap rumah tangga perabot sayur buah buah daging segar ikan segar makan beku kartu pakai belanja tambah poin main bookfair muslim fair masjid masuk shalat masjid parkir luas food court jajan jajan atm masjid,positif,1
Kemana saja saya baru ngeh kalo goro ada buah sayur protein kaya di Superindo. Produk2nya lengkap dan murah. Akses parkir juga mudah dan kalo habis belanja ga perlu naik turun. Nyaman.,mana ngeh kalo goro buah sayur protein kaya superindo produk lengkap murah akses parkir mudah kalo habis belanja turun nyaman,positif,1
"Lengkap dan murah-murah, semua kebutuhan ada disini. Banyak diskon, kasir banyak jadi cepet gak lama ngantri ramah juga.",lengkap murah murah butuh diskon kasir cepet ngantri ramah,positif,1
Tempat berbelanja yang populer dan luas. Menyediakan segala macam kebutuhan rumah tangga dengan berbagai merk. Di sini juga sering menyelenggarakan pameran buku dan busana muslim. Di dalam juga terdapat tempat makanan dan minuman bila Anda letih memutari tempat ini sehingga cocok berbelanja bersama keluarga.,belanja populer luas sedia butuh rumah tangga merk selenggara pamer buku busana muslim makan minum letih putar cocok belanja keluarga,positif,1
Tiap nunggu istri belanja selallu ke timezone depan tapi anak selalu rewel karna panas. Tolong ditindak lanjuti pihak terkait kenapa ac di timezone depan panas tidak seperti gang sebelahnya yg sangat dingin ?,nunggu istri belanja selallu timezone anak rewel panas tolong tindak lanjut kait ac timezone panas gang belah dingin,negatif,0
"Tempatnya luas banget, cuma sayang parkiran nya jauh karena harus muter dari pintu keluar. Untuk harganya menurut saya lebih mahal dikit tapi ada juga yang murah kalau eceran. Kalau kesini orang orang pada beli grosiran barangkali lebih murah kalau grosir. Pelayanan nya kurang, dari awal sampai sekarang kalau ke sini yang ramah cuma satpam nya saja",tempat luas sayang parkir muter pintu harga mahal dikit murah ecer kesini orang orang beli grosir barangkali murah grosir layan ramah satpam,negatif,0
"Pengunjung sangat ramai,pakaian muslim dan muslimah sangat mendominasi,banyak pilihan,tidak mahal. Untuk kebutuhan rumah tangga ya lengkap. Didepan banyak penjual aneka jajanan.",unjung ramai pakai muslim muslimah dominasi pilih mahal butuh rumah tangga ya lengkap depan jual aneka jajan,positif,1
"nemenin mama kesini kemarin, tempatnya luas, lengkap, terjangkau, baru tau ada kuda juga di assaalam hypermarket",nemenin mama kesini kemarin tempat luas lengkap jangkau tau kuda assaalam hypermarket,positif,1
"Hypermart bernuansa Islami, lumayan lengkap, untuk semua kalangan masyarakat, pelayanannya ramah....khusus kebutuhan santri juga ada, parkir luas & gratis, masjid dekat, kuliner kaki lima dgn berbagai rasa, ada pijat Nakamura...",hypermart nuansa islami lumayan lengkap kalang masyarakat layan ramah khusus butuh santri parkir luas gratis masjid kuliner kaki pijat nakamura,positif,1
Barang barang lengkap harga lumayan murah ada banyak diskon harga Frozen food cukup murah,barang barang lengkap harga lumayan murah diskon harga frozen food murah,positif,1
"Sarana dan prasarana lumayan komplit . Jualan juga komplit . Foodcourt jg banyak..  tiap kesana sll  main di funcity yg depan,tp sayang AC ny ga sedingin yg didalam supermarket atau di hall tengah.. dari dulu udah langganan ke goro assalam sangat disayangkan hal spt ini kurang diperhatikan apalagi momen ramai spt weekend di funcity sudah berasa di sauna.. komplen ke pihak funcity katanya ac dr gedung..tolong dong pihak gedungny lebih diperhatikan lg ..",sarana prasarana lumayan komplit jual komplit foodcourt kesana sll main funcity sayang ac ny sedingin dalam supermarket hall langgan goro assalam sayang spt perhati momen ramai spt weekend funcity asa sauna komplen funcity ac gedung tolong gedungny perhati,negatif,0
"terakhir ke sini tahun 2010 mungkin, waktu masih di solo, ke sini lagi bentukannya masih sama, tambah rame aja kayaknya, buat tenant yang di luar makin banyak juga jualannya. Yang kaget, di sini gak dikenain biaya parkir alias gratis! manteppp",solo bentuk rame kayak tenant jual kaget dikenain biaya parkir alias gratis manteppp,positif,1
"Assalaam Hypermarket Solo adalah pusat belanja bernuansa islami yang lengkap dan nyaman, cocok untuk kebutuhan harian maupun belanja busana muslim. Harganya relatif terjangkau, pilihan produknya beragam, dan fasilitasnya mendukung, mulai dari masjid, food court, hingga parkir luas. Suasananya ramah keluarga dan bersahabat, sehingga jadi alternatif belanja yang praktis di Solo.",assalaam hypermarket solo pusat belanja nuansa islami lengkap nyaman cocok butuh hari belanja busana muslim harga relatif jangkau pilih produk agam fasilitas dukung masjid food court parkir luas suasana ramah keluarga sahabat alternatif belanja praktis solo,positif,1
"Rekomendasi tempat belanja bulanan di solo. Harga murah barang lengkap, ada promo setiap akhir pekan, bisa cash back kartu debit dan kredit, ada member point YEY",rekomendasi belanja bulan solo harga murah barang lengkap promosi pekan cash back kartu debit kredit member point yey,positif,1
"Paling seneng belanja di Assalam Hypermarket..tempatnya luas dan dalam 1 area atau lantai artinya tidak usah pakai tangga naik turun (Ekskalator).karyawan dan karyawatinya ramah ,ada mesin scan harga dan jumlah stok barang ,mempermudah pembeli utk membeli partai besar ,dan satu hal lagi tiap 2 Minggu sekali Assalam Hypermarket menyelenggarakan senam bersama utk umum Deng instruktur handal yg berganti- ganti",neng belanja assalam hypermarket tempat luas area lantai pakai tangga turun ekskalator karyawan karyawatinya ramah mesin scan harga stok barang mudah beli beli partai minggu assalam hypermarket selenggara senam deng instruktur handal ganti ganti,positif,1
"Sering belanja di sini, Troli belanja tidak terawat dengan baik. Klo belanja harus pintar pilih troli yg  Rodanya tidak seret agar ringan d dorong.",belanja troli belanja awat belanja pintar pilih troli roda seret ringan dorong,negatif,0
"Parkinya luas dan aman,petugasnya ramah²,tokonya luas banget ,komplit,....
Alhamdulillah puas banget belanja di assalaam...salam sehat sejahtera",parkinya luas aman tugas ramah toko luas komplit alhamdulillah puas belanja assalaam salam sehat sejahtera,positif,1
"Menyediakan berbagai macam busana muslim pria maupun wanita seperti gamis, celana sirwal, peci, mukenah, kerudung, selain itu ada game station, serta keperluan rumah tangga.",sedia busana muslim pria wanita gamis celana sirwal peci mukenah kerudung game station perlu rumah tangga,positif,1
"senang sekali belanja disini. tempatnya bersih, luas dan lengkap. banyak promo dan diskonnya. harga terjangkau cocok untuk belanja bulanan.
di depannya juga banyak stand jualan, jadi bisa sekalian jajan.",senang belanja tempat bersih luas lengkap promosi diskon harga jangkau cocok belanja bulan depan stand jual jajan,positif,1
"beli kebutuhan buat kost disini ada semuaa komplit dan harga ramah di kantong mahasiswa, langganann",beli butuh kost semuaa komplit harga ramah kantong mahasiswa langganann,positif,1
"Maaf ya min, baru ngasih ulasan. Padahal dah jadi langganan heheh

Tempatnya luas banget, bisa sekalian buat olahraga, harga barang murah banyak diskonnya lagi,  mau cari kebutuhan sehari-hari ada dan lengkap.

Recommended DECH",maaf ya min ngasih ulas langgan heheh tempat luas olahraga harga barang murah diskon cari butuh hari lengkap recommended dech,positif,1
"Di assalam tu semua ada yg kayanya. Buah, sayur, daging, sabun, balon, buku, indomie wkwk. Lengkap dan cukup dekat dari kampus. Dan ada kacanya, bisa dipake untuk mirror selfie🙏",assalam kaya buah sayur daging sabun balon buku indomie wkwk lengkap kampus kaca dipake mirror selfie,positif,1
